Auto Aligned,Binding Type,Initial Aligned Version,Aligned Note,Manual Inspection Notes,Binding?,Related?,Official?,Main package?,ID,Host Repo IDs,Type,Platform,Name,Repository URL,First Version Date,Versions Count,Binding Host,Description,Repository Name with Owner,Repository Description,Keywords,Licenses,Dependent Projects Count,Status,Dependent Repositories Count,Repository ID,Repository Host Type,Repository Fork?,Repository Stars Count,Repository License,Repository Status,Repository Keywords,Binding Host Normalized,Binding Host Normalized - No Space
N,,,,,TRUE,FALSE,FALSE,,1028546,573443,Binding,NuGet,Sensible.PredictionIO.NET,,2014-07-18 19:37:48,2,PredictionIO,C# wrapper for the PredictionIO API,,,,,0,,0,,,,,,,,predictionio,predictionio
N,,,"2, readme https://github.com/minhtule/PredictionIO-Swift-SDK/tree/2.0.0",,TRUE,FALSE,FALSE,,2610591,573443,Binding,CocoaPods,PredictionIO,https://github.com/minhtule/PredictionIO-Swift-SDK,2018-02-07 13:55:41,2,PredictionIO,The iOS SDK that provides easy-to-use functions to integrate with PredictionIO REST API services,minhtule/PredictionIO-Swift-SDK,PredictionIO iOS / macOS SDK,,Apache-2.0,0,,0,4120559,GitHub,FALSE,20,Apache-2.0,,,predictionio,predictionio
Y,,,"Same as GitHub, perfectly aligned",,TRUE,TRUE,TRUE,TRUE,825940,815940,Project,Pypi,Keras,https://github.com/keras-team/keras,2015-06-14 0:36:35,48,,Deep Learning for humans,keras-team/keras,Deep Learning for humans,,MIT,46,,7411,815940,GitHub,FALSE,45995,Other,,"data-science,deep-learning,machine-learning,neural-networks,python,tensorflow",,
Y,,,"seems aligned by the version number from 2.0.5, but default install the newest version of keras https://github.com/rstudio/keras/blob/master/R/install.R#L117",,TRUE,FALSE,FALSE,,2380597,815940,Binding,CRAN,keras,https://github.com/rstudio/keras,2017-07-30 0:00:00,13,Keras,R Interface to 'Keras',rstudio/keras,R Interface to Keras,,MIT,22,,53,24800859,GitHub,FALSE,593,Other,,,keras,keras
N,,,,,TRUE,FALSE,FALSE,,4100346,815940,Binding,NuGet,Keras.NET,https://github.com/scisharp/Keras.NET,,50,Keras,"C# bindings for Keras on Win64 - Keras.NET is a high-level neural networks API, capable of running on top of TensorFlow, CNTK, or Theano.",SciSharp/Keras.NET,"Keras.NET is a high-level neural networks API, written in C# with Python Binding and capable of running on top of TensorFlow, CNTK, or Theano. ","learning,deep,network,plaimml,neural,cntk,tensorflow,keras",MIT,0,,0,39000517,GitHub,FALSE,200,MIT,,"csharp-library,deep-learning,deep-learning-library,keras,keras-neural-networks,neural-network",keras,keras
N,,,,,TRUE,FALSE,FALSE,,4254237,815940,Binding,NuGet,Keras.NET.Mono,https://github.com/scisharp/Keras.NET,,45,Keras,"C# bindings for Keras on Linux - Keras.NET is a high-level neural networks API, capable of running on top of TensorFlow, CNTK, or Theano.",SciSharp/Keras.NET,"Keras.NET is a high-level neural networks API, written in C# with Python Binding and capable of running on top of TensorFlow, CNTK, or Theano. ","tensorflow,keras,cntk,deep,neural,network,plaimml,learning",MIT,0,,0,39000517,GitHub,FALSE,200,MIT,,"csharp-library,deep-learning,deep-learning-library,keras,keras-neural-networks,neural-network",keras,keras
N,,,,,TRUE,FALSE,FALSE,,4254235,815940,Binding,NuGet,Keras.NET.OSX,https://github.com/scisharp/Keras.NET,,43,Keras,"C# bindings for Keras on OSX - Keras.NET is a high-level neural networks API, capable of running on top of TensorFlow, CNTK, or Theano.",SciSharp/Keras.NET,"Keras.NET is a high-level neural networks API, written in C# with Python Binding and capable of running on top of TensorFlow, CNTK, or Theano. ","keras,cntk,learning,tensorflow,deep,neural,plaimml,network",MIT,0,,0,39000517,GitHub,FALSE,200,MIT,,"csharp-library,deep-learning,deep-learning-library,keras,keras-neural-networks,neural-network",keras,keras
N,,,,,TRUE,FALSE,FALSE,,310941,845049,Binding,NPM,scikit-learn,https://github.com/burkostya/scikit-zero,2014-03-14 20:02:03,1,scikit-learn,Node.js wrapper of scikit-learn,,,"scikit-learn,scikit,ml,machine learning,python",MIT,0,,0,,,,,,,,scikit learn,scikitlearn
Y,,,"less in PyPI https://pypi.org/project/scikit-learn/#history, https://github.com/scikit-learn/scikit-learn",,TRUE,TRUE,TRUE,TRUE,702828,845049,Project,Pypi,scikit-learn,https://github.com/scikit-learn/scikit-learn,2011-09-22 0:03:10,43,,A set of python modules for machine learning and data mining,scikit-learn/scikit-learn,scikit-learn: machine learning in Python,,BSD-3-Clause,230,,18944,845049,GitHub,FALSE,38756,Other,,"data-analysis,data-science,machine-learning,python,statistics",,
N,,,"1, empty, it's a test release",,TRUE,FALSE,FALSE,,1717401,845049,Binding,Rubygems,scikit-learn,https://github.com/mrkn/scikit-learn.rb,2016-10-05 16:12:25,1,scikit-learn,scikit-learn wrapper for Ruby,mrkn/scikit-learn.rb,scikit-learn wrapper for Ruby,,MIT,0,,0,14083865,GitHub,FALSE,4,MIT,,,scikit learn,scikitlearn
